Source,Target,Id
8.0,3.0,1
9.0,5.0,2
9.0,6.0,3
10.0,0.0,4
10.0,2.0,5
13.0,5.0,6
13.0,6.0,7
13.0,9.0,8
14.0,0.0,9
14.0,3.0,10
15.0,0.0,11
16.0,14.0,12
17.0,1.0,13
17.0,6.0,14
17.0,9.0,15
17.0,13.0,16
18.0,15.0,17
19.0,1.0,18
19.0,7.0,19
20.0,8.0,20
20.0,16.0,21
20.0,18.0,22
21.0,18.0,23
22.0,17.0,24
24.0,14.0,25
24.0,15.0,26
24.0,18.0,27
25.0,17.0,28
26.0,1.0,29
26.0,25.0,30
27.0,1.0,31
27.0,7.0,32
27.0,17.0,33
27.0,25.0,34
27.0,26.0,35
28.0,1.0,36
28.0,8.0,37
28.0,20.0,38
29.0,10.0,39
29.0,18.0,40
29.0,21.0,41
29.0,24.0,42
30.0,7.0,43
30.0,19.0,44
30.0,28.0,45
31.0,17.0,46
32.0,9.0,47
32.0,13.0,48
33.0,12.0,49
33.0,14.0,50
33.0,16.0,51
33.0,21.0,52
34.0,14.0,53
34.0,33.0,54
35.0,29.0,55
36.0,1.0,56
36.0,20.0,57
36.0,23.0,58
37.0,8.0,59
37.0,14.0,60
37.0,16.0,61
37.0,21.0,62
37.0,33.0,63
37.0,34.0,64
37.0,36.0,65
38.0,14.0,66
38.0,16.0,67
38.0,20.0,68
38.0,33.0,69
39.0,36.0,70
40.0,0.0,71
40.0,7.0,72
40.0,14.0,73
40.0,15.0,74
40.0,33.0,75
40.0,36.0,76
40.0,37.0,77
41.0,1.0,78
41.0,9.0,79
41.0,13.0,80
42.0,0.0,81
42.0,2.0,82
42.0,10.0,83
42.0,30.0,84
43.0,14.0,85
43.0,29.0,86
43.0,33.0,87
43.0,37.0,88
43.0,38.0,89
44.0,2.0,90
44.0,20.0,91
44.0,34.0,92
44.0,38.0,93
45.0,8.0,94
45.0,15.0,95
45.0,18.0,96
45.0,21.0,97
45.0,23.0,98
45.0,24.0,99
45.0,29.0,100
45.0,37.0,101
46.0,43.0,102
47.0,0.0,103
47.0,10.0,104
47.0,20.0,105
47.0,28.0,106
47.0,30.0,107
47.0,42.0,108
49.0,34.0,109
49.0,46.0,110
50.0,14.0,111
50.0,16.0,112
50.0,20.0,113
50.0,33.0,114
50.0,42.0,115
50.0,45.0,116
51.0,4.0,117
51.0,11.0,118
51.0,18.0,119
51.0,21.0,120
51.0,23.0,121
51.0,24.0,122
51.0,29.0,123
51.0,45.0,124
51.0,50.0,125
52.0,14.0,126
52.0,29.0,127
52.0,38.0,128
52.0,40.0,129
53.0,43.0,130
54.0,1.0,131
54.0,6.0,132
54.0,7.0,133
54.0,13.0,134
54.0,19.0,135
54.0,41.0,136
55.0,15.0,137
55.0,51.0,138
56.0,5.0,139
56.0,6.0,140
57.0,5.0,141
57.0,6.0,142
57.0,9.0,143
57.0,13.0,144
57.0,17.0,145
57.0,39.0,146
57.0,41.0,147
57.0,48.0,148
57.0,54.0,149
58.0,38.0,150
59.0,3.0,151
59.0,8.0,152
59.0,15.0,153
59.0,36.0,154
59.0,45.0,155
60.0,32.0,156
61.0,2.0,157
61.0,37.0,158
61.0,53.0,159
